TweetID, Weekday, Hour, Day, Lang, IsReshare, Reach, RetweetCount, Likes, Klout, Sentiment, text, LocationID, UserID
tw-690264552273936385,Thursday,13.0,21.0,en,False,465801.0,157.0,133.0,71.0,0.0,Now easily provision manage &amp; deploy SSL/TLS certificates with AWS Certificate Manager. https://aws.amazon.com/blogs/aws/new-aws-certificate-manager-deploy-ssltls-based-apps-on-aws/?sc_channel=sm&sc_campaign=launches_2016&sc_publisher=tw_go&sc_content=ga&sc_country=global&sc_geo=global&sc_category=certificate_manager&adbsc=social_launches_20160121_57489256 http://twitter.com/awscloud/status/690264552273936385/photo/1,3751.0,tw-66780587
tw-683367429049683968,Saturday,12.0,2.0,en,False,446957.0,85.0,131.0,72.0,0.0,Use a highly available NAT gateway to give private subnets outbound Internet access: http://docs.aws.amazon.com/AmazonVPC/latest/UserGuide/vpc-nat-gateway.html?adbsc=docs_20160102_56673526&adbid=683367429049683968&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/683367429049683968/photo/1,3751.0,tw-66780587
tw-684504909362806785,Tuesday,15.0,5.0,en,False,447074.0,73.0,116.0,71.0,0.0,New AWS Startup Blog: Hiring a Cloud Engineer? Questions to Ask and What You Should Hear https://medium.com/@awsactivate/hiring-a-cloud-engineer-questions-to-ask-and-what-you-should-hear-12a960d97163?adbsc=social_20160105_56960756#.7x81tes9r http://twitter.com/awscloud/status/684504909362806785/photo/1,3751.0,tw-66780587
tw-698238715718668288,Friday,13.0,12.0,en,False,495588.0,105.0,113.0,71.0,0.0,New on the AWS #BigData blog: Big Data Analytics Options on AWS: Updated White Paper http://blogs.aws.amazon.com/bigdata/post/Tx2XAKHXB8GJKLT/Big-Data-Analytics-Options-on-AWS-Updated-White?adbsc=social_blogs_20160212_58244596&adbid=698238715718668288&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/698238715718668288/photo/1,3751.0,tw-66780587
tw-708732826577817600,Saturday,12.0,12.0,en,False,535404.0,94.0,107.0,72.0,0.0,Auto Scaling now sends events to CloudWatch Events when it executes lifecycle hooks: http://docs.aws.amazon.com/AutoScaling/latest/DeveloperGuide/cloud-watch-events.html?adbsc=docs_20160312_58807086&adbid=708732826577817600&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/708732826577817600/photo/1,3751.0,tw-66780587
tw-687076354022481924,Tuesday,17.0,12.0,en,False,454897.0,44.0,96.0,71.0,0.0,New on the AWS Startup Blog: Scaling on AWS (Part 4) : &gt; One Million Users https://medium.com/aws-activate-startup-blog/scaling-on-aws-part-4-one-million-users-82ae773a55cc?adbsc=social_20160113_57182946&adbid=687076354022481924&adbpl=tw&adbpr=66780587#.mc3s306rw http://twitter.com/awscloud/status/687076354022481924/photo/1,3751.0,tw-66780587
tw-690669105825722368,Friday,15.0,22.0,en,False,467241.0,63.0,95.0,71.0,0.0,New on the AWS #BigData Blog! Agile Analytics with Amazon Redshift http://blogs.aws.amazon.com/bigdata/post/Tx3HHDIXCZFDGTN/Agile-Analytics-with-Amazon-Redshift?adbsc=social_blogs_20160122_57524276&adbid=690669105825722368&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/690669105825722368/photo/1,3751.0,tw-66780587
tw-696049540370071552,Saturday,12.0,6.0,en,False,487438.0,69.0,94.0,72.0,0.0,How to deploy an SSL certificate from AWS Certificate Manager to your load balancer: http://docs.aws.amazon.com/ElasticLoadBalancing/latest/DeveloperGuide/ssl-server-cert.html?adbsc=docs_20160206_57688156&adbid=696049540370071552&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/696049540370071552/photo/1,3751.0,tw-66780587
tw-689587904528560128,Tuesday,16.0,19.0,en,False,463500.0,64.0,93.0,71.0,0.0,New on the AWS Startup Blog - Simple Drone Service: From Idea to re:Invent  https://medium.com/aws-activate-startup-blog/simple-drone-service-from-idea-to-re-invent-da13e5084e4?adbsc=social_20160119_57405906#.tkpnvdv1x http://twitter.com/awscloud/status/689587904528560128/photo/1,3751.0,tw-66780587
tw-707969805387599873,Thursday,9.0,10.0,en,False,533010.0,119.0,92.0,72.0,1.0,VP of #AWS &amp; Distinguished Engineer James Hamilton recaps a decade of innovation: http://perspectives.mvdirona.com/2016/03/a-decade-of-innovation/?adbsc=social_blogs_20160310_59186006 http://twitter.com/awscloud/status/707969805387599873/photo/1,3751.0,tw-66780587
tw-698581730744111104,Saturday,11.0,13.0,en,False,496683.0,71.0,89.0,71.0,2.0,AWS #IoT now supports MQTT over the WebSocket protocol. Learn more: http://docs.aws.amazon.com/iot/latest/developerguide/protocols.html?adbsc=docs_20160213_57968726&adbid=698581730744111104&adbpl=tw&adbpr=66780587#mqtt-ws http://twitter.com/awscloud/status/698581730744111104/photo/1,3751.0,tw-66780587
tw-694932117164150784,Wednesday,10.0,3.0,en,False,482920.0,60.0,88.0,71.0,0.0,Thinking about building SaaS on #AWS? Read our latest whitepaper SaaS Solutions on AWS http://d0.awsstatic.com/whitepapers/saas-solutions-on-aws-final.pdf?adbsc=social_20160203_57886886&adbid=694932117164150784&adbpl=tw&adbpr=66780587 http://twitter.com/awscloud/status/694932117164150784/photo/1,3751.0,tw-66780587
tw-692419365057097728,Wednesday,11.0,27.0,en,False,473274.0,48.0,85.0,71.0,0.0,Why Your Minimum Viable Product Must Scale - new AWS Startup blog featuring @Mapbox https://medium.com/aws-activate-startup-blog/why-your-minimum-viable-product-must-scale-3933997d297?adbsc=social_20160127_57641106&adbid=692211191284908033&adbpl=tw&adbpr=168826960#.q2v4w90gj http://twitter.com/awscloud/status/692419365057097728/photo/1,3751.0,tw-66780587
